FID,obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,desert
103005,103009,Agelaius tricolor,Aves,Passeriformes,2020,2,1,-120.79127,36.686226,25,HUMAN_OBSERVATION,
103009,103013,Agelaius tricolor,Aves,Passeriformes,2013,5,28,-120.626495,37.17769,90,HUMAN_OBSERVATION,Mojave
103015,103019,Buteo swainsoni,Aves,Accipitriformes,2014,8,7,-119.49192,35.468124,1,HUMAN_OBSERVATION,
103054,103058,Agelaius tricolor,Aves,Passeriformes,2019,2,7,-120.61752,37.187107,0,HUMAN_OBSERVATION,
103072,103076,Buteo swainsoni,Aves,Accipitriformes,2017,4,18,-119.93107,36.2554,1,HUMAN_OBSERVATION,
103089,103093,Haliaeetus leucocephalus,Aves,Accipitriformes,2013,3,2,-120.626495,37.17769,1,HUMAN_OBSERVATION,
103175,103179,Buteo swainsoni,Aves,Accipitriformes,2019,3,20,-119.50738,36.045353,1,HUMAN_OBSERVATION,
103190,103194,Agelaius tricolor,Aves,Passeriformes,2020,1,19,-120.62203,37.167942,8,HUMAN_OBSERVATION,
103191,103195,Agelaius tricolor,Aves,Passeriformes,2012,3,20,-119.17634,35.008083,2,HUMAN_OBSERVATION,
103197,103201,Agelaius tricolor,Aves,Passeriformes,2011,7,12,-119.59336,35.7592,200,HUMAN_OBSERVATION,
103202,103206,Buteo swainsoni,Aves,Accipitriformes,2015,4,18,-120.8,37.2,0,HUMAN_OBSERVATION,
103261,103265,Riparia riparia,Aves,Passeriformes,2016,8,20,-119.891655,36.70476,1,HUMAN_OBSERVATION,
103266,103270,Agelaius tricolor,Aves,Passeriformes,2020,5,18,-119.59725,35.7487,25,HUMAN_OBSERVATION,
103267,103271,Empidonax traillii,Aves,Passeriformes,2019,9,27,-121.06447,37.02791,1,HUMAN_OBSERVATION,Mojave
103295,103299,Buteo swainsoni,Aves,Accipitriformes,2016,6,28,-119.39629,35.399338,1,HUMAN_OBSERVATION,
103320,103324,Buteo swainsoni,Aves,Accipitriformes,2019,7,3,-120.48364,36.582264,1,HUMAN_OBSERVATION,Mojave
103325,103329,Agelaius tricolor,Aves,Passeriformes,2015,12,5,-120.626495,37.17769,40,HUMAN_OBSERVATION,
103327,103331,Empidonax traillii,Aves,Passeriformes,2010,10,9,-119.88925,35.175648,1,HUMAN_OBSERVATION,
103346,103350,Agelaius tricolor,Aves,Passeriformes,2020,3,27,-120.30518,35.70986,40,HUMAN_OBSERVATION,
103357,103361,Buteo swainsoni,Aves,Accipitriformes,2018,3,27,-119.46874,36.300255,1,HUMAN_OBSERVATION,
103375,103379,Agelaius tricolor,Aves,Passeriformes,2019,2,16,-120.81785,36.59503,10,HUMAN_OBSERVATION,
103429,103433,Agelaius tricolor,Aves,Passeriformes,2011,2,21,-119.43842,35.572155,50,HUMAN_OBSERVATION,
103448,103452,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,2,17,-120.626495,37.17769,1,HUMAN_OBSERVATION,Mojave
103454,103458,Agelaius tricolor,Aves,Passeriformes,2010,3,20,-120.5664,36.81091,1,HUMAN_OBSERVATION,
103456,103460,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,11,29,-120.62203,37.167942,0,HUMAN_OBSERVATION,
103460,103464,Buteo swainsoni,Aves,Accipitriformes,2010,3,26,-120.8011,37.17539,1,HUMAN_OBSERVATION,
103474,103478,Agelaius tricolor,Aves,Passeriformes,1995,2,4,-120.626495,37.17769,0,HUMAN_OBSERVATION,
103483,103487,Buteo swainsoni,Aves,Accipitriformes,2001,3,11,-120.626495,37.17769,0,HUMAN_OBSERVATION,
103486,103490,Gymnogyps californianus,Aves,Accipitriformes,2017,5,5,-119.37666,34.90416,3,HUMAN_OBSERVATION,San Joaquin
103487,103491,Agelaius tricolor,Aves,Passeriformes,2011,5,5,-120.55916,37.220486,0,HUMAN_OBSERVATION,
103495,103499,Empidonax traillii,Aves,Passeriformes,2020,9,4,-119.50738,36.045353,1,HUMAN_OBSERVATION,
103497,103501,Buteo swainsoni,Aves,Accipitriformes,2019,6,20,-119.59628,36.30262,1,HUMAN_OBSERVATION,
103554,103558,Empidonax traillii,Aves,Passeriformes,2011,6,6,-121.28138,37.45279,1,HUMAN_OBSERVATION,
103599,103603,Agelaius tricolor,Aves,Passeriformes,2019,5,8,-121.06447,37.02791,4,HUMAN_OBSERVATION,Mojave
103678,103682,Gymnogyps californianus,Aves,Accipitriformes,2018,3,9,-119.39508,34.921055,6,HUMAN_OBSERVATION,
103686,103690,Buteo swainsoni,Aves,Accipitriformes,2020,3,27,-120.6204,37.1847,1,HUMAN_OBSERVATION,
