FID,obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,desert
64215,64219,Buteo swainsoni,Aves,Accipitriformes,2019,3,15,-115.78728,32.74758,6,HUMAN_OBSERVATION,Sonoran
64232,64236,Riparia riparia,Aves,Passeriformes,1997,8,23,-115.60416,33.192356,3,HUMAN_OBSERVATION,
64238,64242,Buteo swainsoni,Aves,Accipitriformes,2013,3,4,-116.32586,33.254227,2,HUMAN_OBSERVATION,
64281,64285,Melanerpes uropygialis,Aves,Piciformes,2000,8,20,-115.60416,33.192356,0,HUMAN_OBSERVATION,Mojave
64291,64295,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,2,16,-115.709724,33.082695,1,HUMAN_OBSERVATION,
64296,64300,Riparia riparia,Aves,Passeriformes,2020,8,27,-115.39479,33.74029,1,HUMAN_OBSERVATION,Mojave
64316,64320,Buteo swainsoni,Aves,Accipitriformes,2016,3,19,-116.365654,33.297318,100,HUMAN_OBSERVATION,Mojave
64334,64338,Melanerpes uropygialis,Aves,Piciformes,2009,5,2,-114.534546,33.67103,0,HUMAN_OBSERVATION,
64346,64350,Riparia riparia,Aves,Passeriformes,2001,8,4,-115.709625,33.07576,0,HUMAN_OBSERVATION,
64377,64381,Empidonax traillii,Aves,Passeriformes,2017,5,27,-115.6151,33.177467,1,HUMAN_OBSERVATION,
64384,64388,Melanerpes uropygialis,Aves,Piciformes,2010,2,7,-115.55444,32.968323,3,HUMAN_OBSERVATION,
64399,64403,Riparia riparia,Aves,Passeriformes,1999,8,21,-115.60416,33.192356,0,HUMAN_OBSERVATION,
64440,64444,Melanerpes uropygialis,Aves,Piciformes,2019,1,20,-114.13516,34.26041,1,HUMAN_OBSERVATION,
64441,64445,Empidonax traillii,Aves,Passeriformes,2020,10,6,-116.1869,32.61962,1,HUMAN_OBSERVATION,
64446,64450,Melanerpes uropygialis,Aves,Piciformes,2013,9,1,-115.5994,32.94161,6,HUMAN_OBSERVATION,
64519,64523,Melanerpes uropygialis,Aves,Piciformes,2016,5,3,-115.55444,32.968323,3,HUMAN_OBSERVATION,Mojave
64528,64532,Melanerpes uropygialis,Aves,Piciformes,2005,7,9,-115.55444,32.968323,0,HUMAN_OBSERVATION,
64536,64540,Agelaius tricolor,Aves,Passeriformes,2013,3,3,-116.1869,32.61962,40,HUMAN_OBSERVATION,
64562,64566,Melanerpes uropygialis,Aves,Piciformes,2013,10,17,-115.55444,32.968323,2,HUMAN_OBSERVATION,
64588,64592,Buteo swainsoni,Aves,Accipitriformes,2019,3,10,-116.3668,33.29732,10,HUMAN_OBSERVATION,
64612,64616,Melanerpes uropygialis,Aves,Piciformes,2014,10,25,-115.32517,33.62611,1,HUMAN_OBSERVATION,
64615,64619,Melanerpes uropygialis,Aves,Piciformes,2015,10,5,-114.144,34.287594,2,HUMAN_OBSERVATION,Sonoran
64620,64624,Melanerpes uropygialis,Aves,Piciformes,2018,5,23,-115.55444,32.968323,3,HUMAN_OBSERVATION,
64627,64631,Melanerpes uropygialis,Aves,Piciformes,2016,1,10,-115.55444,32.968323,2,HUMAN_OBSERVATION,San Joaquin
64651,64655,Empidonax traillii,Aves,Passeriformes,2020,5,13,-116.47142,33.09793,2,HUMAN_OBSERVATION,
64666,64670,Melanerpes uropygialis,Aves,Piciformes,2016,1,16,-114.13516,34.26041,2,HUMAN_OBSERVATION,
64681,64685,Melanerpes uropygialis,Aves,Piciformes,2017,8,6,-115.55444,32.968323,3,HUMAN_OBSERVATION,
64682,64686,Agelaius tricolor,Aves,Passeriformes,2013,3,3,-116.1869,32.61962,40,HUMAN_OBSERVATION,
64697,64701,Melanerpes uropygialis,Aves,Piciformes,2008,7,26,-115.55444,32.968323,1,HUMAN_OBSERVATION,
64790,64794,Buteo swainsoni,Aves,Accipitriformes,2008,3,24,-114.73909,33.60681,1,HUMAN_OBSERVATION,
64801,64805,Melanerpes uropygialis,Aves,Piciformes,2006,1,22,-115.55444,32.968323,1,HUMAN_OBSERVATION,San Joaquin
64809,64813,Melanerpes uropygialis,Aves,Piciformes,2019,5,5,-115.55444,32.968323,1,HUMAN_OBSERVATION,
64841,64845,Melanerpes uropygialis,Aves,Piciformes,2010,2,7,-115.68415,32.781845,3,HUMAN_OBSERVATION,
64860,64864,Melanerpes uropygialis,Aves,Piciformes,2019,3,9,-115.55444,32.968323,2,HUMAN_OBSERVATION,
64868,64872,Buteo swainsoni,Aves,Accipitriformes,2014,7,27,-114.631134,33.60264,4,HUMAN_OBSERVATION,
64888,64892,Riparia riparia,Aves,Passeriformes,2013,9,15,-114.533394,33.604034,2,HUMAN_OBSERVATION,
