Lupinus citrinus var. deflexus,Mariposa lupine,ST,199001XX,,,
Lupinus constancei,The Lassics lupine,SE,20190401,,,
Lupinus milo-bakeri,Milo Baker's lupine,ST,198701XX,,,
Lupinus nipomensis,Nipomo Mesa lupine,SE,198701XX,FE,20000320,
Lupinus padre-crowleyi,Father Crowley's lupine,SR,198108XX,,,
Lupinus tidestromii,Tidestrom's lupine,SE,198701XX,FE,19920622,Federally listed at the species level; state listed as Lupinus tidestromii var. tidestromii (plants of L. tidestromii from Monterey County only)
Mahonia sonnei,Truckee barberry,"Delisted
SE","200804XX
197907XX","Delisted
FE","20031001
19791106","Synonym: Berberis sonnei. Current taxonomic treatment considers B. sonnei as a form of the common B. aquifolium var. repens, and not a
separate taxon."
Malacothamnus clementinus,San Clemente Island bush-mallow,SE,198202XX,FE,19770912,
"Malacothamnus fasciculatus
var. nesioticus",Santa Cruz Island bush- mallow,SE,197911XX,FE,19970731,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Malacothrix indecora,Santa Cruz Island malacothrix,,,FE,19970731,
Malacothrix squalida,island malacothrix,,,FE,19970731,
Monardella viminea,willowy monardella,SE,197911XX,FE,19981013,"Scientific name at time of listing:
Monardella linoides ssp. viminea"
Monolopia congdonii,San Joaquin woollythreads,,,FE,19900719,Synonym: Lembertia congdonii
Nasturtium gambelii,Gambel's water cress,ST,199001XX,FE,19930803,"Scientific name at time of listing:
Rorippa gambellii"
Navarretia fossalis,spreading navarretia,,,FT,19981013,
"Navarretia leucocephala ssp.
pauciflora",few-flowered navarretia,ST,199001XX,FE,19970618,Synonym: Navarretia pauciflora
"Navarretia leucocephala ssp.
plieantha",many-flowered navarretia,SE,197911XX,FE,19970618,
Nemacladus twisselmannii,"Twisselmann's
nemacladus",SR,198207XX,,,
Neostapfia colusana,Colusa grass,SE,197911XX,FT,19970326,
Neviusia cliftonii,Shasta snow-wreath,SC,20200501,,,
Nitrophila mohavensis,Amargosa nitrophila,SE,197911XX,FE,19850520,
"Noccaea fendleri ssp.
californica",Kneeland Prairie pennycress,,,FE,20000209,"Scientific name at time of listing:
Thlapsi californicum"
Nolina interrata,Dehesa nolina,SE,197911XX,,,
"Oenothera californica ssp.
eurekensis",Eureka Dunes evening- primrose,SR,197811XX,"FDR
FE","20180329
19780527",Scientific name at time of listing: Oenothera avita ssp. eurekensis. FE on 19780527; removed from FE list on 20180329.
"Oenothera deltoides ssp.
howellii",Antioch Dunes evening- primrose,SE,197811XX,FE,19780527,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Opuntia basilaris var. treleasei,Bakersfield cactus,SE,199001XX,FE,19900719,"Scientific name at time of listing:
Opuntia treleasei"
Orcuttia californica,California Orcutt grass,SE,197909XX,FE,19930803,
Orcuttia inaequalis,San Joaquin Valley Orcutt grass,SE,197909XX,FT,19970326,
Orcuttia pilosa,hairy Orcutt grass,SE,197909XX,FE,19970326,
Orcuttia tenuis,slender Orcutt grass,SE,197909XX,FT,19970326,
Orcuttia viscida,Sacramento Orcutt grass,SE,197907XX,FE,19970326,
Ornithostaphylos oppositifolia,Baja California birdbush,SE,200105XX,,,
Packera ganderi,Gander's ragwort,SR,198207XX,,,"Scientific name at time of listing:
Senecio ganderi"
Packera layneae,Layne's ragwort,SR,197911XX,FT,19961018,"Scientific name at time of listing:
Senecio layneae"
"Panicum acuminatum var.
thermale",Geysers panicum,SE,197809XX,,,"Scientific name at time of listing:
Dichanthelium lanuginosum var.
thermale"
Pedicularis dudleyi,Dudley's lousewort,SR,197909XX,,,
Pentachaeta bellidiflora,white-rayed pentachaeta,SE,199206XX,FE,19950203,
Pentachaeta lyonii,Lyon's pentachaeta,SE,199001XX,FE,19970129,
Phacelia insularis var. insularis,northern Channel Islands phacelia,,,FE,19970731,Synonym: island phacelia
Phacelia stellaris,Brand's star phacelia,,,,,"FC on 20040504; removed from FC
list on 20131122."
Phlox hirsuta,Yreka phlox,SE,198701XX,FE,20000203,
Physaria kingii ssp. bernardina,San Bernardino Mountains bladderpod,,,FE,19940824,"Scientific name at time of listing:
Lesquerella kingii ssp. bernardina"
Pinus albicaulis,whitebark pine,,,FPT,20201202,Not tracked by CNDDB.
Piperia yadonii,Yadon's rein orchid,,,FE,19980812,
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Plagiobothrys diffusus,San Francisco popcornflower,SE,197909XX,,,
Plagiobothrys strictus,Calistoga popcornflower,ST,199001XX,FE,19971022,
Pleuropogon hooverianus,"North Coast semaphore
grass",ST,200208XX,,,
Poa atropurpurea,"San Bernardino blue
grass",,,FE,19981014,
Poa napensis,Napa blue grass,SE,197907XX,FE,19971022,
Pogogyne abramsii,San Diego mesa mint,SE,197907XX,FE,19781029,
Pogogyne clareana,Santa Lucia mint,SE,197911XX,,,
Pogogyne nudiuscula,Otay Mesa mint,SE,198701XX,FE,19930803,
Polygonum hickmanii,Scotts Valley polygonum,SE,200410XX,FE,20030408,
Potentilla basaltica,Black Rock potentilla,,,,,FC on 20040504; removed from FC list on 20130802
Potentilla hickmanii,Hickman's cinquefoil,SE,197909XX,FE,19980812,
Pseudobahia bahiifolia,"Hartweg's golden
sunburst",SE,19820117,FE,19970206,
Pseudobahia peirsonii,"San Joaquin adobe
sunburst",SE,198701XX,FT,19970206,
Rorippa subumbellata,Tahoe yellow cress,SE,198204XX,,,FC on 20040504; removed from FC list on 20151008.
Rosa minutifolia,small-leaved rose,SE,198910XX,,,
Sanicula maritima,adobe sanicle,SR,198108XX,,,
Sanicula saxatilis,rock sanicle,SR,198207XX,,,
Sedella leiocarpa,Lake County stonecrop,SE,199001XX,FE,19970618,"Scientific name at time of listing:
Parvisedum leiocarpum"
"Sedum laxum ssp.
eastwoodiae",Red Mountain stonecrop,,,,,Scientific name at time of listing: Sedum eastwoodiae. FC on 20040504; removed from FC list on 20140918.
Taxon,Common Name,State Status,State List Date,Federal Status,Federal List Date,Notes
Sibara filifolia,Santa Cruz Island winged- rockcress,,,FE,19970808,
Sidalcea covillei,"Owens Valley
checkerbloom",SE,197907XX,,,
"Sidalcea hickmanii ssp.
anomala","Cuesta Pass
checkerbloom",SR,197911XX,,,
"Sidalcea hickmanii ssp.
parishii",Parish's checkerbloom,SR,197911XX,,,
Sidalcea keckii,Keck's checkerbloom,,,FE,20000216,
Sidalcea oregana ssp. valida,Kenwood Marsh checkerbloom,SE,19820117,FE,19971022,
Sidalcea pedata,bird-foot checkerbloom,SE,19820117,FE,19840831,
Sidalcea stipularis,Scadden Flat checkerbloom,SE,198201XX,,,
"Silene campanulata ssp.
campanulata",Red Mountain catchfly,SE,198204XX,,,
"Streptanthus albidus ssp.
albidus",Metcalf Canyon jewel- flower,,,FE,19950203,
"Streptanthus glandulosus ssp.
niger",Tiburon jewel-flower,SE,199002XX,FE,19950203,"Scientific name at time of listing:
Streptanthus niger"
Suaeda californica,California seablite,,,FE,19941215,
Swallenia alexandrae,Eureka Valley dune grass,SR,198108XX,"FT
FE","20180329
19780527",FE on 19780527; reclassified as FT on 20180329
Taraxacum californicum,California dandelion,,,FE,19981014,
