species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID
Empidonax traillii,Aves,Passeriformes,2019,5,27,-116.2235,35.832287,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
Empidonax traillii,Aves,Passeriformes,1985,8,14,-115.3593,35.1476,1,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565
Colaptes chrysoides,Aves,Piciformes,1999,4,22,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2015,5,25,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Haliaeetus leucocephalus,Aves,Accipitriformes,2020,12,1,-121.03,37.062,2,HUMAN_OBSERVATION,BASALT,2004,410.184,929
Empidonax traillii,Aves,Passeriformes,2019,5,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Empidonax traillii,Aves,Passeriformes,1987,6,4,-116.5709,34.0423,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
Haliaeetus leucocephalus,Aves,Accipitriformes,2018,12,10,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
Haliaeetus leucocephalus,Aves,Accipitriformes,2010,1,23,-117.31063,34.30521,3,HUMAN_OBSERVATION,OLD,2003,91428,512
Empidonax traillii,Aves,Passeriformes,2014,5,23,-119.58132,35.025692,3,HUMAN_OBSERVATION,SODA,2016,2000.281,1086
Haliaeetus leucocephalus,Aves,Accipitriformes,2015,3,12,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
Colaptes chrysoides,Aves,Piciformes,2010,7,16,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Riparia riparia,Aves,Passeriformes,2016,7,26,-121.03,37.062,2,HUMAN_OBSERVATION,BASALT,2004,410.184,929
Agelaius tricolor,Aves,Passeriformes,2018,4,8,-121.30736,37.44076,50,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112
Gymnogyps californianus,Aves,Accipitriformes,2012,10,8,-119.408,34.926193,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094
Haliaeetus leucocephalus,Aves,Accipitriformes,2019,1,3,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
Empidonax traillii,Aves,Passeriformes,2007,5,19,-116.2235,35.832287,NA,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2020,6,2,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2019,6,19,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2016,4,2,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2019,5,26,-115.51266,35.25319,3,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2020,6,2,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2015,5,25,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Buteo swainsoni,Aves,Accipitriformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Buteo swainsoni,Aves,Accipitriformes,2010,3,21,-116.47182,33.099594,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
Empidonax traillii,Aves,Passeriformes,2007,8,23,-118.0907,36.68119,1,HUMAN_OBSERVATION,MOFFAT,2018,1253.925,351
Buteo swainsoni,Aves,Accipitriformes,2017,5,6,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
Colaptes chrysoides,Aves,Piciformes,2014,4,6,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Haliaeetus leucocephalus,Aves,Accipitriformes,2017,5,6,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
Colaptes chrysoides,Aves,Piciformes,2019,6,20,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Buteo swainsoni,Aves,Accipitriformes,2019,6,16,-118.94054,34.968582,20,HUMAN_OBSERVATION,PARKWAY,2009,689.9021,946
Colaptes chrysoides,Aves,Piciformes,2017,7,27,-115.386314,35.177177,1,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565
Empidonax traillii,Aves,Passeriformes,2018,5,14,-116.44083,33.11509,1,HUMAN_OBSERVATION,NARROWS,2010,49.86191,296
Agelaius tricolor,Aves,Passeriformes,2014,3,22,-117.83632,34.43565,8,HUMAN_OBSERVATION,BOBCAT,2020,115997.5701,1110
Buteo swainsoni,Aves,Accipitriformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Buteo swainsoni,Aves,Accipitriformes,2012,4,2,-120.17971,35.922237,1,HUMAN_OBSERVATION,GARZA,2017,48886.66,1045
Colaptes chrysoides,Aves,Piciformes,2014,6,9,-115.51595,35.26065,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2017,11,13,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Haliaeetus leucocephalus,Aves,Accipitriformes,2020,10,28,-117.31063,34.30521,2,HUMAN_OBSERVATION,OLD,2003,91428,512
Haliaeetus leucocephalus,Aves,Accipitriformes,2019,12,3,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
Buteo swainsoni,Aves,Accipitriformes,2019,6,19,-121.15877,37.169483,6,HUMAN_OBSERVATION,MCCABE,2015,1728.974,997
Buteo swainsoni,Aves,Accipitriformes,2019,6,19,-121.15877,37.169483,6,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112
Colaptes chrysoides,Aves,Piciformes,2019,5,26,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Haliaeetus leucocephalus,Aves,Accipitriformes,2018,5,2,-121.30736,37.44076,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112
Haliaeetus leucocephalus,Aves,Accipitriformes,2015,6,1,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
Haliaeetus leucocephalus,Aves,Accipitriformes,2019,9,7,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
Agelaius tricolor,Aves,Passeriformes,2015,12,27,-119.504425,34.894554,2,HUMAN_OBSERVATION,HWY166,2004,65.16033,856
Empidonax traillii,Aves,Passeriformes,2015,6,7,-115.43524,35.131176,2,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565
Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,29,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
Empidonax traillii,Aves,Passeriformes,2007,5,26,-115.33627,35.160686,2,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565
Colaptes chrysoides,Aves,Piciformes,2019,6,25,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2012,4,7,-115.55262,35.31624,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Agelaius tricolor,Aves,Passeriformes,1999,3,27,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
Colaptes chrysoides,Aves,Piciformes,2019,6,30,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2014,6,9,-115.52253,35.26816,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,1997,4,13,-115.33627,35.160686,NA,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565
Colaptes chrysoides,Aves,Piciformes,2019,6,7,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Agelaius tricolor,Aves,Passeriformes,2019,6,13,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
Puma concolor,Mammalia,Carnivora,2018,10,13,-116.444997,33.139342,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
Empidonax traillii,Aves,Passeriformes,2018,5,19,-115.434535,35.132071,NA,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565
Ammospermophilus nelsoni,Mammalia,Rodentia,2017,4,8,-119.577792,35.023225,NA,HUMAN_OBSERVATION,SODA,2016,2000.281,1086
Colaptes chrysoides,Aves,Piciformes,2019,9,20,-115.51916,35.266975,1,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Haliaeetus leucocephalus,Aves,Accipitriformes,2020,10,17,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
Puma concolor,Mammalia,Carnivora,2018,10,13,-116.445738,33.139138,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
Gopherus agassizii,Reptilia,Testudines,2010,4,17,-115.445679,35.040239,NA,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565
Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2017,3,30,-116.482358,33.353615,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
Buteo swainsoni,Aves,Accipitriformes,2016,3,23,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,9,5,-116.505214,33.343826,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
Colaptes chrysoides,Aves,Piciformes,2018,5,26,-115.514772,35.255447,NA,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Puma concolor,Mammalia,Carnivora,2019,5,12,-116.482965,33.154898,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2017,1,29,-116.440214,33.286175,NA,HUMAN_OBSERVATION,PALM#1,2002,94.97114,264
Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2017,1,29,-116.440214,33.286175,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
Ovis canadensis nelsoni,Mammalia,Artiodactyla,2021,5,26,-116.478575,33.250691,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
Danaus plexippus,Insecta,Lepidoptera,2019,10,13,-115.430253,35.124617,NA,HUMAN_OBSERVATION,HACKBERRY COMPLEX 1,2005,63771.3,565
Colaptes chrysoides,Aves,Piciformes,2016,4,29,-115.51991,35.268375,2,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Colaptes chrysoides,Aves,Piciformes,2021,4,29,-115.545737,35.316235,NA,HUMAN_OBSERVATION,DOME,2020,44211.08459,1109
Agelaius tricolor,Aves,Passeriformes,2021,4,3,-121.241922,37.425191,NA,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112
Empidonax traillii,Aves,Passeriformes,2016,5,28,-121.299144,37.44186,NA,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.2556,1112
Danaus plexippus,Insecta,Lepidoptera,2018,7,2,-116.566907,34.047416,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
