County,FIPS,MapDate,DSCI
Fresno County,6019,20081014,272
Fresno County,6019,20081021,271
Fresno County,6019,20081028,271
Fresno County,6019,20081104,267
Fresno County,6019,20081111,267
Fresno County,6019,20081118,267
Fresno County,6019,20081125,267
Fresno County,6019,20081202,267
Fresno County,6019,20081209,267
Fresno County,6019,20081216,267
Fresno County,6019,20081223,267
Fresno County,6019,20081230,267
Fresno County,6019,20090106,267
Fresno County,6019,20090113,267
Fresno County,6019,20090120,267
Fresno County,6019,20090127,267
Fresno County,6019,20090203,267
Fresno County,6019,20090210,267
Fresno County,6019,20090217,267
Fresno County,6019,20090224,267
Fresno County,6019,20090303,251
Fresno County,6019,20090310,239
Fresno County,6019,20090317,259
Fresno County,6019,20090324,259
Fresno County,6019,20090331,259
Fresno County,6019,20090407,255
Fresno County,6019,20090414,255
Fresno County,6019,20090421,255
Fresno County,6019,20090428,255
Fresno County,6019,20090505,255
Fresno County,6019,20090512,255
Fresno County,6019,20090519,255
Fresno County,6019,20090526,255
Fresno County,6019,20090602,255
Fresno County,6019,20090609,255
Fresno County,6019,20090616,255
Fresno County,6019,20090623,255
Fresno County,6019,20090630,255
Fresno County,6019,20090707,255
Fresno County,6019,20090714,255
Fresno County,6019,20090721,255
Fresno County,6019,20090728,255
Fresno County,6019,20090804,255
Fresno County,6019,20090811,255
Fresno County,6019,20090818,255
Fresno County,6019,20090825,255
Fresno County,6019,20090901,255
Fresno County,6019,20090908,255
Fresno County,6019,20090915,255
Fresno County,6019,20090922,255
Fresno County,6019,20090929,255
Fresno County,6019,20091006,255
Fresno County,6019,20091013,255
Fresno County,6019,20091020,124
Fresno County,6019,20091027,124
Fresno County,6019,20091103,124
Fresno County,6019,20091110,124
Fresno County,6019,20091117,124
Fresno County,6019,20091124,124
Fresno County,6019,20091201,124
Fresno County,6019,20091208,124
Fresno County,6019,20091215,124
Fresno County,6019,20091222,124
Fresno County,6019,20091229,124
Fresno County,6019,20100105,124
Fresno County,6019,20100112,124
Fresno County,6019,20100119,121
Fresno County,6019,20100126,52
Fresno County,6019,20100202,52
Fresno County,6019,20100209,52
Fresno County,6019,20100216,52
Fresno County,6019,20100223,52
Fresno County,6019,20100302,52
Fresno County,6019,20100309,52
Fresno County,6019,20100316,52
Fresno County,6019,20100323,52
Fresno County,6019,20100330,53
Fresno County,6019,20100406,53
Fresno County,6019,20100413,53
Fresno County,6019,20100420,53
Fresno County,6019,20100427,47
Fresno County,6019,20100504,47
Fresno County,6019,20100511,47
Fresno County,6019,20100518,1
Fresno County,6019,20100525,1
Fresno County,6019,20100601,1
Fresno County,6019,20100608,0
Fresno County,6019,20100615,0
Fresno County,6019,20100622,0
Fresno County,6019,20100629,0
Fresno County,6019,20100706,0
Fresno County,6019,20100713,0
Fresno County,6019,20100720,0
Fresno County,6019,20100727,0
Fresno County,6019,20100803,0
Fresno County,6019,20100810,0
Fresno County,6019,20100817,0
Fresno County,6019,20100824,0
Fresno County,6019,20100831,0
Fresno County,6019,20100907,0
Fresno County,6019,20100914,0
Fresno County,6019,20100921,0
Fresno County,6019,20100928,0
Fresno County,6019,20101005,0
Fresno County,6019,20101012,0
Fresno County,6019,20101019,0
Fresno County,6019,20101026,0
Fresno County,6019,20101102,0
Fresno County,6019,20101109,0
Fresno County,6019,20101116,0
Fresno County,6019,20101123,0
Fresno County,6019,20101130,0
Fresno County,6019,20101207,31
Fresno County,6019,20101214,31
Fresno County,6019,20101221,9
Fresno County,6019,20101228,0
Fresno County,6019,20110104,0
Fresno County,6019,20110111,0
Fresno County,6019,20110118,0
Fresno County,6019,20110125,0
Fresno County,6019,20110201,0
Fresno County,6019,20110208,0
Fresno County,6019,20110215,0
Fresno County,6019,20110222,0
Fresno County,6019,20110301,0
Fresno County,6019,20110308,0
Fresno County,6019,20110315,0
Fresno County,6019,20110322,0
Fresno County,6019,20110329,0
Fresno County,6019,20110405,0
Fresno County,6019,20110412,0
Fresno County,6019,20110419,0
Fresno County,6019,20110426,0
Fresno County,6019,20110503,0
Fresno County,6019,20110510,0
Fresno County,6019,20110517,0
Fresno County,6019,20110524,0
Fresno County,6019,20110531,0
Fresno County,6019,20110607,0
Fresno County,6019,20110614,0
Fresno County,6019,20110621,0
Fresno County,6019,20110628,0
Fresno County,6019,20110705,0
Fresno County,6019,20110712,0
Fresno County,6019,20110719,0
Fresno County,6019,20110726,0
Fresno County,6019,20110802,0
Fresno County,6019,20110809,0
Fresno County,6019,20110816,0
Fresno County,6019,20110823,0
Fresno County,6019,20110830,0
Fresno County,6019,20110906,0
Fresno County,6019,20110913,0
Fresno County,6019,20110920,0
Fresno County,6019,20110927,0
Fresno County,6019,20111004,0
Fresno County,6019,20111011,0
Fresno County,6019,20111018,0
Fresno County,6019,20111025,0
Fresno County,6019,20111101,0
Fresno County,6019,20111108,0
Fresno County,6019,20111115,0
Fresno County,6019,20111122,0
Fresno County,6019,20111129,0
Fresno County,6019,20111206,0
Fresno County,6019,20111213,0
Fresno County,6019,20111220,0
Fresno County,6019,20111227,89
Fresno County,6019,20120103,174
Fresno County,6019,20120110,174
Fresno County,6019,20120117,174
Fresno County,6019,20120124,174
Fresno County,6019,20120131,183
Fresno County,6019,20120207,183
Fresno County,6019,20120214,183
Fresno County,6019,20120221,200
Fresno County,6019,20120228,200
Fresno County,6019,20120306,200
Fresno County,6019,20120313,298
Fresno County,6019,20120320,298
Fresno County,6019,20120327,298
Fresno County,6019,20120403,298
Fresno County,6019,20120410,298
Fresno County,6019,20120417,224
Fresno County,6019,20120424,225
Fresno County,6019,20120501,207
Fresno County,6019,20120508,207
Fresno County,6019,20120515,207
Fresno County,6019,20120522,207
Fresno County,6019,20120529,207
