FID,species,class,order,year,month,day,decimalLongitude,decimalLatitude,individualCount,basisOfRecord,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
47216,Melanerpes uropygialis,Aves,Piciformes,2016,5,30,-114.46656,32.88192,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
47247,Melanerpes uropygialis,Aves,Piciformes,2016,10,22,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
47259,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,4,28,-118.06305,36.610775,1,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,2000,3820
47293,Empidonax traillii,Aves,Passeriformes,1999,5,26,-116.457825,34.120792,1,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
47364,Melanerpes uropygialis,Aves,Piciformes,2020,11,30,-114.69886,32.73608,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
47549,Melanerpes uropygialis,Aves,Piciformes,2011,10,27,-114.48251,34.733994,2,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
48254,Melanerpes uropygialis,Aves,Piciformes,2013,4,26,-114.490326,34.739582,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
48304,Empidonax traillii,Aves,Passeriformes,1998,9,6,-116.45965,34.121082,0,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
48385,Buteo swainsoni,Aves,Accipitriformes,2006,5,24,-121.0207,37.080807,0,HUMAN_OBSERVATION,BASALT,2004,410.184,929,2000,3551
48403,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,3,22,-114.48251,34.733994,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
48718,Empidonax traillii,Aves,Passeriformes,2017,8,30,-118.34545,34.674374,2,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
49039,Empidonax traillii,Aves,Passeriformes,2007,6,5,-114.72447,32.708626,5,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
49099,Melanerpes uropygialis,Aves,Piciformes,2020,11,19,-114.69886,32.73608,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
49239,Melanerpes uropygialis,Aves,Piciformes,2020,1,4,-114.48408,34.736748,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
49242,Riparia riparia,Aves,Passeriformes,2018,4,29,-118.035995,36.618904,8,HUMAN_OBSERVATION,RIVER,2013,406.8415,332,2000,3820
49601,Melanerpes uropygialis,Aves,Piciformes,2020,11,26,-114.69557,32.738663,1,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
49705,Melanerpes uropygialis,Aves,Piciformes,2014,12,30,-114.48251,34.733994,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358,2000,4492
49748,Melanerpes uropygialis,Aves,Piciformes,2019,2,25,-114.47458,32.90013,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
49939,Melanerpes uropygialis,Aves,Piciformes,2017,11,18,-114.45976,32.879894,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
50451,Agelaius tricolor,Aves,Passeriformes,2000,4,16,-121.27084,37.462517,0,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,2000,29881
50699,Colaptes chrysoides,Aves,Piciformes,2016,9,4,-115.55866,35.23258,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
50868,Buteo swainsoni,Aves,Accipitriformes,2014,4,20,-118.39457,34.72747,1,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418,2000,9258
50881,Empidonax traillii,Aves,Passeriformes,2013,5,21,-120.03971,35.353077,1,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
51338,Melanerpes uropygialis,Aves,Piciformes,2011,3,31,-114.45964,32.88135,1,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
51469,Haliaeetus leucocephalus,Aves,Accipitriformes,2012,12,31,-119.38754,34.933525,1,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,2000,3267
51501,Colaptes chrysoides,Aves,Piciformes,2010,5,22,-115.50674,35.23213,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
52067,Colaptes chrysoides,Aves,Piciformes,1996,7,18,-115.500404,35.23286,3,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109,2000,17466
52364,Empidonax traillii,Aves,Passeriformes,2007,5,13,-116.58211,34.058918,0,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261,2000,18494
52364,Empidonax traillii,Aves,Passeriformes,2007,5,13,-116.58211,34.058918,0,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271,2000,6137
52570,Empidonax traillii,Aves,Passeriformes,2013,6,19,-120.03971,35.353077,1,HUMAN_OBSERVATION,BECK,2000,396.3609,926,2000,3513
53003,Melanerpes uropygialis,Aves,Piciformes,2018,1,22,-114.69557,32.738663,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,2000,3282
53351,Melanerpes uropygialis,Aves,Piciformes,1986,7,23,-114.45964,32.88135,0,HUMAN_OBSERVATION,SENATOR,2012,47.72357,359,2000,2937
