usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	original_sciname	acceptedusagekey	note
5229161	Pelecanus occidentalis californicus Ridgway, 1884	subspecies	ACCEPTED	EXACT	Pelecanus occidentalis californicus	98	Animalia	Chordata	Pelecaniformes	Pelecanidae	Pelecanus	Pelecanus occidentalis	1	44	212	7190953	9329	10650925	5229158	FALSE	Aves	Pelecanus occidentalis californicus	NA	NA
2481920	Gymnogyps californianus (Shaw, 1797)	species	ACCEPTED	EXACT	Gymnogyps californianus	99	Animalia	Chordata	Accipitriformes	Cathartidae	Gymnogyps	Gymnogyps californianus	1	44	212	7191147	3242141	2481919	2481920	FALSE	Aves	Gymnogyps californianus	NA	NA
2480562	Buteo swainsoni Bonaparte, 1838	species	ACCEPTED	EXACT	Buteo swainsoni	99	Animalia	Chordata	Accipitriformes	Accipitridae	Buteo	Buteo swainsoni	1	44	212	7191147	2877	2480517	2480562	FALSE	Aves	Buteo swainsoni	NA	NA
2480446	Haliaeetus leucocephalus (Linnaeus, 1766)	species	ACCEPTED	EXACT	Haliaeetus leucocephalus	99	Animalia	Chordata	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus leucocephalus	1	44	212	7191147	2877	2480444	2480446	FALSE	Aves	Haliaeetus leucocephalus	NA	NA
6177974	Falco peregrinus anatum Bonaparte, 1838	subspecies	ACCEPTED	EXACT	Falco peregrinus anatum	97	Animalia	Chordata	Falconiformes	Falconidae	Falco	Falco peregrinus	1	44	212	7191407	5240	2480996	2481047	FALSE	Aves	Falco peregrinus anatum	NA	NA
9336356	Falco peregrinus f. anatum Bonaparte, 1838	form	ACCEPTED	EXACT	Falco peregrinus anatum	97	Animalia	Chordata	Falconiformes	Falconidae	Falco	Falco peregrinus	1	44	212	7191407	5240	2480996	2481047	FALSE	Aves	Falco peregrinus anatum	NA	Similarity: name=110; authorship=0; classification=-2; rank=5; status=1
6177976	Falco peregrinus tundrius C.M.White, 1968	subspecies	ACCEPTED	EXACT	Falco peregrinus tundrius	98	Animalia	Chordata	Falconiformes	Falconidae	Falco	Falco peregrinus	1	44	212	7191407	5240	2480996	2481047	FALSE	Aves	Falco peregrinus tundrius	NA	NA
6176697	Laterallus jamaicensis coturniculus (Ridgway, 1874)	subspecies	ACCEPTED	EXACT	Laterallus jamaicensis coturniculus	98	Animalia	Chordata	Gruiformes	Rallidae	Laterallus	Laterallus jamaicensis	1	44	212	1493	9342	2474584	2474590	FALSE	Aves	Laterallus jamaicensis coturniculus	NA	NA
9135908	Rallus obsoletus levipes Bangs, 1899	subspecies	ACCEPTED	EXACT	Rallus obsoletus levipes	98	Animalia	Chordata	Gruiformes	Rallidae	Rallus	Rallus obsoletus	1	44	212	1493	9342	2474794	7449585	FALSE	Aves	Rallus obsoletus levipes	NA	NA
9006862	Rallus obsoletus obsoletus	subspecies	ACCEPTED	EXACT	Rallus obsoletus obsoletus	98	Animalia	Chordata	Gruiformes	Rallidae	Rallus	Rallus obsoletus	1	44	212	1493	9342	2474794	7449585	FALSE	Aves	Rallus obsoletus obsoletus	NA	NA
9065502	Rallus obsoletus yumanensis Dickey, 1923	subspecies	ACCEPTED	EXACT	Rallus obsoletus yumanensis	98	Animalia	Chordata	Gruiformes	Rallidae	Rallus	Rallus obsoletus	1	44	212	1493	9342	2474794	7449585	FALSE	Aves	Rallus obsoletus yumanensis	NA	NA
6176784	Grus canadensis tabida J.L.Peters, 1925	subspecies	ACCEPTED	EXACT	Grus canadensis tabida	98	Animalia	Chordata	Gruiformes	Gruidae	Grus	Grus canadensis	1	44	212	1493	9313	2474940	2474953	FALSE	Aves	Grus canadensis tabida	NA	NA
6065880	Charadrius nivosus nivosus	subspecies	ACCEPTED	EXACT	Charadrius nivosus nivosus	98	Animalia	Chordata	Charadriiformes	Charadriidae	Charadrius	Charadrius nivosus	1	44	212	7192402	2480210	2480277	6065879	FALSE	Aves	Charadrius nivosus nivosus	NA	NA
6065775	Sternula antillarum browni (Mearns, 1916)	subspecies	ACCEPTED	EXACT	Sternula antillarum browni	98	Animalia	Chordata	Charadriiformes	Laridae	Sternula	Sternula antillarum	1	44	212	7192402	9316	4849628	5789285	FALSE	Aves	Sternula antillarum browni	NA	NA
5229236	Sterna antillarum browni Mearns, 1916	subspecies	SYNONYM	FUZZY	Sterna antillarum browni	74	Animalia	Chordata	Charadriiformes	Laridae	Sternula	Sternula antillarum	1	44	212	7192402	9316	4849628	5789285	TRUE	Aves	Sternula antillarum browni	6065775	Similarity: name=71; authorship=0; classification=-2; rank=5; status=0
5229281	Brachyramphus marmoratus (Gmelin, 1789)	species	ACCEPTED	EXACT	Brachyramphus marmoratus	99	Animalia	Chordata	Charadriiformes	Alcidae	Brachyramphus	Brachyramphus marmoratus	1	44	212	7192402	2985	2481326	5229281	FALSE	Aves	Brachyramphus marmoratus	NA	NA
4287234	Brachyrampus marmoratus (Gmelin, 1789)	species	SYNONYM	FUZZY	Brachyrampus marmoratus	79	Animalia	Chordata	Charadriiformes	Alcidae	Brachyramphus	Brachyramphus marmoratus	1	44	212	7192402	2985	2481326	5229281	TRUE	Aves	Brachyramphus marmoratus	5229281	Similarity: name=75; authorship=0; classification=-2; rank=6; status=0
8363918	Synthliboramphus scrippsi Green & Arnold, 1939	species	ACCEPTED	EXACT	Synthliboramphus scrippsi	99	Animalia	Chordata	Charadriiformes	Alcidae	Synthliboramphus	Synthliboramphus scrippsi	1	44	212	7192402	2985	2481347	8363918	FALSE	Aves	Synthliboramphus scrippsi	NA	NA
2481351	Synthliboramphus hypoleucus (Xantus de Vesey, 1860)	species	ACCEPTED	EXACT	Synthliboramphus hypoleucus	99	Animalia	Chordata	Charadriiformes	Alcidae	Synthliboramphus	Synthliboramphus hypoleucus	1	44	212	7192402	2985	2481347	2481351	FALSE	Aves	Synthliboramphus hypoleucus	NA	NA
6170319	Coccyzus americanus occidentalis Ridgway, 1887	subspecies	SYNONYM	EXACT	Coccyzus americanus occidentalis	98	Animalia	Chordata	Cuculiformes	Cuculidae	Coccyzus	Coccyzus americanus	1	44	212	1492	9309	2496285	2496287	TRUE	Aves	Coccyzus americanus occidentalis	2496287	NA
