obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID,buffSize_km,buffArea_acres
176958,Melanerpes uropygialis,Aves,Piciformes,2014,12,24,-114.6066,32.720795,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
176974,Agelaius tricolor,Aves,Passeriformes,2009,4,13,-119.481514,34.985977,8,HUMAN_OBSERVATION,SODA,2005,449.4977,678,5000,9266
176974,Agelaius tricolor,Aves,Passeriformes,2009,4,13,-119.481514,34.985977,8,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021,5000,10997
176980,Melanerpes uropygialis,Aves,Piciformes,2018,5,5,-114.68413,32.699966,2,HUMAN_OBSERVATION,ALAMO,2016,136.4,360,5000,14318
176994,Gymnogyps californianus,Aves,Accipitriformes,2018,5,12,-119.37666,34.90416,2,HUMAN_OBSERVATION,SCHOOL,2014,223.7788,1094,5000,10475
177054,Agelaius tricolor,Aves,Passeriformes,2019,3,26,-120.89854,36.630684,13,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
177067,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,2,3,-120.62001,37.182293,1,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
177134,Buteo swainsoni,Aves,Accipitriformes,2018,4,21,-120.89854,36.630684,5,HUMAN_OBSERVATION,BROWN,2008,3786.915,935,5000,20951
177151,Melanerpes uropygialis,Aves,Piciformes,2019,2,18,-114.61296,32.72587,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
177351,Melanerpes uropygialis,Aves,Piciformes,2019,1,9,-114.6066,32.720795,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
177381,Agelaius tricolor,Aves,Passeriformes,2016,4,2,-121.370255,37.589752,34,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112,5000,68965
177399,Agelaius tricolor,Aves,Passeriformes,2010,2,20,-120.62203,37.167942,NA,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
177428,Melanerpes uropygialis,Aves,Piciformes,2017,11,29,-114.6066,32.720795,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
177444,Melanerpes uropygialis,Aves,Piciformes,2018,2,27,-114.6192,32.731518,2,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356,5000,18081
177479,Buteo swainsoni,Aves,Accipitriformes,2011,8,21,-120.62203,37.167942,8,HUMAN_OBSERVATION,SANDY,2016,0,1107,5000,13684
